telemetry_id,device_id,timestamp,temperature,humidity,pressure,status,date,battery_voltage
TEL-20240803-00186,DEV-0016,2024-08-03T21:52:27Z,33.28,69.45,1036.7,ERROR,2024-08-03,22.22
TEL-20240803-00299,DEV-0048,2024-08-03T08:52:20Z,65.96,62.51,1010.05,ERROR,2024-08-03,17.06
TEL-20240803-00431,DEV-0016,2024-08-03T22:18:07Z,43.93,77.73,1003.56,ERROR,2024-08-03,22.33
TEL-20240803-00038,DEV-0038,2024-08-03T20:02:13Z,34.9,34.21,1040.42,WARN,2024-08-03,14.37
TEL-20240803-00272,DEV-0008,2024-08-03T22:31:41Z,94.93,48.98,1004.62,ERROR,2024-08-03,18.52
TEL-20240803-00270,DEV-0048,2024-08-03T06:26:44Z,60.05,31.63,1006.43,OK,2024-08-03,14.2
TEL-20240803-00337,DEV-0001,2024-08-03T11:19:45Z,43.7,56.25,1026.48,ERROR,2024-08-03,19.69
TEL-20240803-00217,DEV-0029,2024-08-03T05:19:21Z,54.88,37.07,1018.05,OK,2024-08-03,22.55
TEL-20240803-00309,DEV-0027,2024-08-03T23:19:17Z,42.42,44.21,985.58,OK,2024-08-03,19.88
TEL-20240803-00165,DEV-0028,2024-08-03T16:45:56Z,89.13,36.01,1024.49,OK,2024-08-03,28.95
TEL-20240803-00041,DEV-0030,2024-08-03T13:26:23Z,79.95,42.19,1006.77,OK,2024-08-03,18.83
TEL-20240803-00262,DEV-0014,2024-08-03T01:13:55Z,19.77,73.1,1009.6,OK,2024-08-03,22.71
TEL-20240803-00417,DEV-0021,2024-08-03T19:50:23Z,43.79,48.57,1025.64,WARN,2024-08-03,28.85
TEL-20240803-00322,DEV-0026,2024-08-03T06:04:17Z,50.58,68.04,1046.6,ERROR,2024-08-03,22.97
TEL-20240803-00363,DEV-0048,2024-08-03T21:15:10Z,57.39,68.97,994.02,WARN,2024-08-03,15.8
TEL-20240803-00446,DEV-0003,2024-08-03T13:06:59Z,72.29,56.49,993.33,ERROR,2024-08-03,23.22
TEL-20240803-00200,DEV-0045,2024-08-03T06:47:52Z,48.61,67.93,1040.92,OK,2024-08-03,13.31
TEL-20240803-00464,DEV-0008,2024-08-03T12:41:25Z,28.1,71.84,998.9,OK,2024-08-03,11.53
TEL-20240803-00489,DEV-0029,2024-08-03T13:42:30Z,43.19,55.03,988.21,ERROR,2024-08-03,17.86
TEL-20240803-00351,DEV-0037,2024-08-03T20:29:34Z,32.12,74.77,1038.37,OK,2024-08-03,12.77
TEL-20240803-00027,DEV-0025,2024-08-03T06:25:11Z,81.61,20.47,980.69,OK,2024-08-03,10.6
TEL-20240803-00281,DEV-0039,2024-08-03T10:21:10Z,91.86,89.5,996.93,WARN,2024-08-03,13.85
TEL-20240803-00343,DEV-0030,2024-08-03T18:50:50Z,44.72,27.71,980.58,OK,2024-08-03,19.33
TEL-20240803-00500,DEV-0013,2024-08-03T20:39:47Z,19.28,78.61,1039.38,OK,2024-08-03,27.95
TEL-20240803-00399,DEV-0048,2024-08-03T17:13:07Z,46.67,77.15,989.94,OK,2024-08-03,23.97
TEL-20240803-00233,DEV-0028,2024-08-03T11:03:44Z,26.16,60.71,1013.38,ERROR,2024-08-03,27.41
TEL-20240803-00261,DEV-0021,2024-08-03T18:02:38Z,77.61,24.37,1036.6,WARN,2024-08-03,29.57
TEL-20240803-00167,DEV-0004,2024-08-03T02:47:18Z,60.67,54.5,1041.2,WARN,2024-08-03,23.54
TEL-20240803-00083,DEV-0019,2024-08-03T06:09:24Z,33.74,22.65,1044.64,ERROR,2024-08-03,29.77
TEL-20240803-00482,DEV-0013,2024-08-03T06:44:06Z,59.41,43.17,984.28,WARN,2024-08-03,21.89
TEL-20240803-00081,DEV-0033,2024-08-03T20:47:14Z,56.76,69.32,980.93,OK,2024-08-03,22.33
TEL-20240803-00366,DEV-0042,2024-08-03T21:39:28Z,21.28,83.49,1047.4,WARN,2024-08-03,27.65
TEL-20240803-00438,DEV-0018,2024-08-03T18:56:39Z,42.21,44.31,991.59,OK,2024-08-03,15.48
TEL-20240803-00111,DEV-0034,2024-08-03T08:59:31Z,54.44,43.59,1010.06,OK,2024-08-03,23.64
TEL-20240803-00284,DEV-0041,2024-08-03T18:50:25Z,82.91,63.91,998.22,ERROR,2024-08-03,13.18
TEL-20240803-00208,DEV-0002,2024-08-03T17:42:55Z,77.92,74.64,987.45,WARN,2024-08-03,28.91
TEL-20240803-00466,DEV-0010,2024-08-03T03:47:37Z,79.03,33.6,1022.4,OK,2024-08-03,25.7
TEL-20240803-00449,DEV-0006,2024-08-03T16:54:46Z,75.71,20.22,984.71,ERROR,2024-08-03,22.22
TEL-20240803-00491,DEV-0014,2024-08-03T05:40:53Z,39.39,30.0,1010.61,WARN,2024-08-03,19.8
TEL-20240803-00106,DEV-0011,2024-08-03T05:23:11Z,72.21,33.86,992.74,OK,2024-08-03,19.01
TEL-20240803-00070,DEV-0049,2024-08-03T00:43:17Z,29.82,45.07,995.17,OK,2024-08-03,27.85
TEL-20240803-00090,DEV-0020,2024-08-03T09:36:28Z,92.51,34.1,1040.37,WARN,2024-08-03,11.6
TEL-20240803-00441,DEV-0003,2024-08-03T17:34:51Z,33.03,54.19,1037.57,OK,2024-08-03,14.06
TEL-20240803-00034,DEV-0038,2024-08-03T06:54:34Z,40.65,30.4,997.3,OK,2024-08-03,27.46
TEL-20240803-00074,DEV-0005,2024-08-03T07:56:06Z,79.36,78.13,991.75,OK,2024-08-03,10.88
TEL-20240803-00025,DEV-0011,2024-08-03T03:29:56Z,78.77,22.95,995.36,OK,2024-08-03,22.78
TEL-20240803-00318,DEV-0016,2024-08-03T21:41:47Z,83.9,68.65,985.26,WARN,2024-08-03,11.21
TEL-20240803-00254,DEV-0009,2024-08-03T03:36:31Z,21.05,80.13,1008.07,ERROR,2024-08-03,28.34
TEL-20240803-00214,DEV-0001,2024-08-03T19:06:24Z,47.57,27.7,980.95,OK,2024-08-03,12.64
TEL-20240803-00196,DEV-0020,2024-08-03T23:30:48Z,33.55,70.45,983.07,OK,2024-08-03,18.36
TEL-20240803-00229,DEV-0027,2024-08-03T16:36:49Z,71.4,72.38,1029.22,OK,2024-08-03,17.23
TEL-20240803-00190,DEV-0018,2024-08-03T11:17:22Z,72.79,37.29,1042.66,OK,2024-08-03,10.82
TEL-20240803-00278,DEV-0023,2024-08-03T14:26:58Z,81.17,69.27,1031.88,OK,2024-08-03,28.79
TEL-20240803-00232,DEV-0015,2024-08-03T01:47:08Z,27.03,68.7,990.02,OK,2024-08-03,23.92
TEL-20240803-00164,DEV-0027,2024-08-03T22:29:11Z,51.8,44.78,1012.81,OK,2024-08-03,15.52
TEL-20240803-00490,DEV-0050,2024-08-03T12:45:30Z,45.33,78.71,1002.19,OK,2024-08-03,27.67
TEL-20240803-00044,DEV-0017,2024-08-03T09:47:52Z,77.17,79.18,993.34,ERROR,2024-08-03,29.96
TEL-20240803-00207,DEV-0004,2024-08-03T20:52:00Z,81.44,35.35,1047.57,OK,2024-08-03,15.12
TEL-20240803-00414,DEV-0046,2024-08-03T07:03:45Z,94.38,88.27,981.13,OK,2024-08-03,20.81
TEL-20240803-00342,DEV-0018,2024-08-03T09:12:02Z,62.62,69.13,1038.39,OK,2024-08-03,18.67
TEL-20240803-00149,DEV-0024,2024-08-03T17:10:27Z,93.24,66.07,997.38,OK,2024-08-03,28.92
TEL-20240803-00256,DEV-0017,2024-08-03T21:02:39Z,93.26,23.99,1035.34,ERROR,2024-08-03,10.16
TEL-20240803-00249,DEV-0050,2024-08-03T10:28:50Z,28.1,40.36,1023.64,WARN,2024-08-03,10.8
TEL-20240803-00183,DEV-0007,2024-08-03T00:08:09Z,44.5,20.96,1027.91,OK,2024-08-03,23.57
TEL-20240803-00209,DEV-0017,2024-08-03T20:40:38Z,60.42,77.18,995.44,OK,2024-08-03,14.08
TEL-20240803-00150,DEV-0034,2024-08-03T09:42:34Z,52.26,60.4,1028.66,ERROR,2024-08-03,28.22
TEL-20240803-00422,DEV-0034,2024-08-03T01:38:30Z,68.76,56.42,1002.19,OK,2024-08-03,26.72
TEL-20240803-00407,DEV-0016,2024-08-03T04:58:00Z,39.61,67.78,999.21,OK,2024-08-03,25.43
TEL-20240803-00369,DEV-0046,2024-08-03T04:17:50Z,76.72,41.21,1007.58,WARN,2024-08-03,17.53
TEL-20240803-00463,DEV-0003,2024-08-03T05:18:19Z,19.87,64.21,1028.16,OK,2024-08-03,15.45
TEL-20240803-00144,DEV-0045,2024-08-03T13:19:36Z,27.64,42.77,1029.96,ERROR,2024-08-03,13.7
TEL-20240803-00153,DEV-0009,2024-08-03T23:39:27Z,23.73,37.85,1006.72,OK,2024-08-03,18.0
TEL-20240803-00445,DEV-0018,2024-08-03T14:40:47Z,57.49,74.39,1029.48,OK,2024-08-03,27.85
TEL-20240803-00279,DEV-0015,2024-08-03T16:18:17Z,85.73,38.51,1038.69,WARN,2024-08-03,23.47
TEL-20240803-00174,DEV-0048,2024-08-03T20:36:25Z,34.74,41.34,1045.32,ERROR,2024-08-03,26.51
TEL-20240803-00221,DEV-0040,2024-08-03T10:07:23Z,89.1,84.39,1042.69,ERROR,2024-08-03,13.02
TEL-20240803-00380,DEV-0040,2024-08-03T17:54:08Z,79.72,50.72,1023.78,OK,2024-08-03,21.38
TEL-20240803-00237,DEV-0012,2024-08-03T16:10:00Z,48.52,49.65,1046.38,WARN,2024-08-03,21.08
TEL-20240803-00472,DEV-0026,2024-08-03T19:53:30Z,58.3,78.78,1033.24,OK,2024-08-03,25.35
TEL-20240803-00298,DEV-0050,2024-08-03T18:19:10Z,79.15,86.76,1014.15,WARN,2024-08-03,18.47
TEL-20240803-00325,DEV-0010,2024-08-03T12:32:27Z,57.11,23.72,999.08,OK,2024-08-03,10.98
TEL-20240803-00064,DEV-0047,2024-08-03T06:58:31Z,49.67,73.33,988.49,OK,2024-08-03,11.53
TEL-20240803-00252,DEV-0030,2024-08-03T10:10:59Z,40.76,24.77,1020.36,OK,2024-08-03,11.78
TEL-20240803-00409,DEV-0050,2024-08-03T19:00:07Z,41.63,66.25,1038.52,OK,2024-08-03,18.88
TEL-20240803-00455,DEV-0016,2024-08-03T00:18:17Z,57.08,82.29,1034.8,OK,2024-08-03,21.25
TEL-20240803-00382,DEV-0019,2024-08-03T08:24:45Z,45.56,81.07,991.05,OK,2024-08-03,11.5
TEL-20240803-00440,DEV-0043,2024-08-03T08:09:06Z,33.93,78.72,1032.84,OK,2024-08-03,21.97
TEL-20240803-00189,DEV-0041,2024-08-03T07:14:21Z,50.81,24.29,1009.9,OK,2024-08-03,16.09
TEL-20240803-00161,DEV-0049,2024-08-03T12:11:22Z,80.07,67.45,1035.21,ERROR,2024-08-03,21.89
TEL-20240803-00188,DEV-0010,2024-08-03T13:01:39Z,33.37,80.5,1006.62,ERROR,2024-08-03,16.13
TEL-20240803-00151,DEV-0023,2024-08-03T19:34:32Z,34.16,26.93,1037.38,OK,2024-08-03,10.73
TEL-20240803-00319,DEV-0001,2024-08-03T21:13:29Z,81.03,33.15,987.32,OK,2024-08-03,26.28
TEL-20240803-00146,DEV-0038,2024-08-03T17:45:52Z,78.84,28.69,1032.71,OK,2024-08-03,13.61
TEL-20240803-00430,DEV-0009,2024-08-03T16:55:33Z,88.73,83.3,1004.81,WARN,2024-08-03,23.94
TEL-20240803-00448,DEV-0017,2024-08-03T15:09:31Z,80.67,71.35,999.78,OK,2024-08-03,22.7
TEL-20240803-00442,DEV-0037,2024-08-03T13:46:28Z,58.11,78.17,1000.65,OK,2024-08-03,24.33
TEL-20240803-00423,DEV-0019,2024-08-03T07:21:15Z,79.52,88.42,996.16,OK,2024-08-03,24.96
TEL-20240803-00170,DEV-0048,2024-08-03T21:58:52Z,94.94,86.15,1027.89,OK,2024-08-03,22.15
TEL-20240803-00010,DEV-0028,2024-08-03T02:58:15Z,33.16,43.05,984.4,OK,2024-08-03,10.56
TEL-20240803-00077,DEV-0014,2024-08-03T14:14:04Z,68.66,39.49,1023.67,OK,2024-08-03,11.35
TEL-20240803-00317,DEV-0047,2024-08-03T15:14:05Z,38.31,40.74,985.8,ERROR,2024-08-03,26.71
TEL-20240803-00115,DEV-0043,2024-08-03T06:00:40Z,91.73,76.88,981.16,OK,2024-08-03,27.47
TEL-20240803-00364,DEV-0043,2024-08-03T03:37:31Z,46.29,39.26,1007.01,OK,2024-08-03,19.28
TEL-20240803-00416,DEV-0021,2024-08-03T18:23:53Z,81.35,49.12,1024.93,OK,2024-08-03,12.86
TEL-20240803-00439,DEV-0029,2024-08-03T07:56:10Z,40.21,84.24,1049.22,OK,2024-08-03,28.49
TEL-20240803-00484,DEV-0028,2024-08-03T18:46:19Z,46.28,73.69,1045.4,ERROR,2024-08-03,20.82
TEL-20240803-00169,DEV-0040,2024-08-03T06:58:53Z,75.44,69.99,1029.18,OK,2024-08-03,14.88
TEL-20240803-00266,DEV-0045,2024-08-03T18:24:52Z,18.76,74.82,1021.8,OK,2024-08-03,24.45
TEL-20240803-00139,DEV-0008,2024-08-03T16:41:21Z,63.69,87.88,1023.89,WARN,2024-08-03,14.9
TEL-20240803-00007,DEV-0042,2024-08-03T01:54:20Z,51.31,89.66,999.18,ERROR,2024-08-03,19.33
TEL-20240803-00468,DEV-0019,2024-08-03T13:05:14Z,92.45,59.27,1013.83,ERROR,2024-08-03,20.13
TEL-20240803-00435,DEV-0029,2024-08-03T05:32:46Z,63.28,86.13,986.78,OK,2024-08-03,19.87
TEL-20240803-00408,DEV-0019,2024-08-03T10:36:25Z,20.97,39.2,998.81,OK,2024-08-03,25.65
TEL-20240803-00065,DEV-0007,2024-08-03T16:49:49Z,43.1,51.57,997.69,ERROR,2024-08-03,10.89
TEL-20240803-00250,DEV-0046,2024-08-03T21:24:15Z,34.08,62.73,985.25,OK,2024-08-03,21.34
TEL-20240803-00087,DEV-0025,2024-08-03T16:20:11Z,52.06,20.42,1040.89,OK,2024-08-03,29.07
TEL-20240803-00307,DEV-0037,2024-08-03T00:18:01Z,67.56,79.93,1049.16,WARN,2024-08-03,15.69
TEL-20240803-00118,DEV-0034,2024-08-03T18:50:54Z,73.18,22.22,1014.85,OK,2024-08-03,16.03
TEL-20240803-00285,DEV-0021,2024-08-03T06:05:05Z,19.97,20.81,1033.9,OK,2024-08-03,10.56
TEL-20240803-00032,DEV-0040,2024-08-03T13:56:45Z,23.03,30.11,1044.69,OK,2024-08-03,13.83
TEL-20240803-00467,DEV-0028,2024-08-03T16:47:01Z,41.27,52.12,986.98,ERROR,2024-08-03,19.43
TEL-20240803-00222,DEV-0028,2024-08-03T16:21:38Z,31.97,49.77,1042.52,OK,2024-08-03,22.5
TEL-20240803-00119,DEV-0044,2024-08-03T17:55:29Z,30.94,51.24,988.1,ERROR,2024-08-03,14.82
TEL-20240803-00013,DEV-0049,2024-08-03T03:40:28Z,62.58,25.99,984.25,OK,2024-08-03,17.55
TEL-20240803-00230,DEV-0014,2024-08-03T00:23:35Z,54.49,29.35,987.71,OK,2024-08-03,17.22
TEL-20240803-00456,DEV-0021,2024-08-03T08:43:20Z,49.66,76.63,1009.76,OK,2024-08-03,28.25
TEL-20240803-00132,DEV-0004,2024-08-03T05:54:31Z,74.01,40.94,1037.05,OK,2024-08-03,29.82
TEL-20240803-00051,DEV-0038,2024-08-03T00:36:50Z,20.48,29.74,1048.41,OK,2024-08-03,21.36
TEL-20240803-00181,DEV-0011,2024-08-03T21:12:30Z,91.9,88.81,988.32,WARN,2024-08-03,21.0
TEL-20240803-00427,DEV-0019,2024-08-03T10:20:07Z,24.28,49.47,1048.83,ERROR,2024-08-03,19.88
TEL-20240803-00265,DEV-0023,2024-08-03T13:30:30Z,59.23,74.87,1047.59,WARN,2024-08-03,17.09
TEL-20240803-00493,DEV-0050,2024-08-03T21:22:46Z,50.65,63.19,1041.34,OK,2024-08-03,17.65
TEL-20240803-00339,DEV-0010,2024-08-03T11:31:01Z,36.82,71.87,1048.13,OK,2024-08-03,14.13
TEL-20240803-00328,DEV-0003,2024-08-03T18:17:15Z,23.07,27.07,995.85,ERROR,2024-08-03,23.99
TEL-20240803-00274,DEV-0028,2024-08-03T12:18:54Z,68.79,67.62,1024.39,ERROR,2024-08-03,28.76
TEL-20240803-00418,DEV-0019,2024-08-03T19:01:10Z,46.36,40.36,990.5,ERROR,2024-08-03,10.51
TEL-20240803-00420,DEV-0014,2024-08-03T12:53:37Z,20.51,70.84,1006.68,OK,2024-08-03,29.1
TEL-20240803-00213,DEV-0028,2024-08-03T07:29:58Z,67.67,48.18,1030.7,OK,2024-08-03,24.54
TEL-20240803-00029,DEV-0013,2024-08-03T06:18:11Z,34.86,38.34,992.2,ERROR,2024-08-03,14.92
TEL-20240803-00474,DEV-0001,2024-08-03T08:44:13Z,76.14,75.63,1018.19,OK,2024-08-03,29.19
TEL-20240803-00341,DEV-0029,2024-08-03T16:11:16Z,88.1,44.42,1003.18,ERROR,2024-08-03,18.35
TEL-20240803-00315,DEV-0009,2024-08-03T10:55:09Z,75.98,82.15,1047.61,WARN,2024-08-03,22.74
TEL-20240803-00122,DEV-0035,2024-08-03T20:46:31Z,24.96,68.42,1041.04,ERROR,2024-08-03,25.33
TEL-20240803-00346,DEV-0023,2024-08-03T21:53:00Z,21.84,29.64,1041.51,ERROR,2024-08-03,23.31
TEL-20240803-00247,DEV-0003,2024-08-03T09:10:09Z,70.54,25.51,1023.82,OK,2024-08-03,27.69
TEL-20240803-00433,DEV-0028,2024-08-03T09:48:30Z,71.91,71.34,1030.66,ERROR,2024-08-03,28.33
TEL-20240803-00293,DEV-0022,2024-08-03T11:30:39Z,64.2,20.35,1016.52,OK,2024-08-03,28.53
TEL-20240803-00030,DEV-0013,2024-08-03T00:11:53Z,38.16,27.08,1038.2,OK,2024-08-03,17.58
TEL-20240803-00267,DEV-0038,2024-08-03T19:09:20Z,69.13,77.65,1031.4,OK,2024-08-03,10.28
TEL-20240803-00215,DEV-0050,2024-08-03T02:17:09Z,90.27,61.97,1035.47,OK,2024-08-03,29.15
TEL-20240803-00185,DEV-0016,2024-08-03T19:09:46Z,57.37,37.46,1033.67,OK,2024-08-03,29.89
TEL-20240803-00413,DEV-0015,2024-08-03T03:41:02Z,32.19,55.47,1010.82,OK,2024-08-03,10.84
TEL-20240803-00257,DEV-0007,2024-08-03T09:24:10Z,61.9,79.77,995.61,WARN,2024-08-03,23.38
TEL-20240803-00287,DEV-0050,2024-08-03T11:11:15Z,68.24,35.52,993.57,OK,2024-08-03,24.53
TEL-20240803-00340,DEV-0006,2024-08-03T06:58:24Z,67.18,87.58,1041.4,ERROR,2024-08-03,27.98
TEL-20240803-00356,DEV-0006,2024-08-03T01:17:53Z,93.94,27.49,1021.6,OK,2024-08-03,21.31
TEL-20240803-00201,DEV-0049,2024-08-03T16:24:35Z,78.01,48.06,999.0,OK,2024-08-03,10.07
TEL-20240803-00271,DEV-0013,2024-08-03T21:36:00Z,46.51,45.47,1001.14,OK,2024-08-03,20.04
TEL-20240803-00282,DEV-0042,2024-08-03T12:53:03Z,79.7,60.45,989.02,WARN,2024-08-03,29.55
TEL-20240803-00117,DEV-0031,2024-08-03T21:54:44Z,87.7,71.4,1000.57,OK,2024-08-03,24.24
TEL-20240803-00204,DEV-0035,2024-08-03T07:18:02Z,67.25,85.94,999.44,OK,2024-08-03,15.41
TEL-20240803-00255,DEV-0009,2024-08-03T14:23:32Z,83.05,86.64,1006.16,WARN,2024-08-03,20.12
TEL-20240803-00335,DEV-0019,2024-08-03T07:33:32Z,30.88,30.26,986.57,OK,2024-08-03,26.08
TEL-20240803-00397,DEV-0019,2024-08-03T20:15:33Z,86.76,42.32,1017.9,OK,2024-08-03,11.08
TEL-20240803-00033,DEV-0025,2024-08-03T22:23:20Z,64.17,88.39,997.12,OK,2024-08-03,25.26
TEL-20240803-00347,DEV-0050,2024-08-03T17:09:05Z,72.92,29.99,1031.31,WARN,2024-08-03,21.7
TEL-20240803-00434,DEV-0033,2024-08-03T02:09:57Z,18.6,61.51,1027.17,WARN,2024-08-03,17.59
TEL-20240803-00004,DEV-0048,2024-08-03T18:43:43Z,64.43,32.29,1021.17,OK,2024-08-03,12.55
TEL-20240803-00104,DEV-0037,2024-08-03T11:52:09Z,38.71,34.67,1032.38,OK,2024-08-03,10.13
TEL-20240803-00424,DEV-0008,2024-08-03T22:15:28Z,74.43,81.62,1005.33,OK,2024-08-03,21.21
TEL-20240803-00026,DEV-0045,2024-08-03T07:29:39Z,34.41,53.65,1033.78,OK,2024-08-03,26.15
TEL-20240803-00188,DEV-0010,2024-08-03T13:01:39Z,33.37,80.5,1006.62,ERROR,2024-08-03,16.13
TEL-20240803-00395,DEV-0026,2024-08-03T15:42:07Z,68.56,25.35,1045.69,OK,2024-08-03,19.9
TEL-20240803-00294,DEV-0013,2024-08-03T19:01:34Z,19.77,55.82,990.66,OK,2024-08-03,12.3
TEL-20240803-00022,DEV-0043,2024-08-03T21:09:03Z,36.28,77.34,1019.16,OK,2024-08-03,18.44
TEL-20240803-00461,DEV-0026,2024-08-03T22:14:18Z,79.7,83.75,1003.21,OK,2024-08-03,21.06
TEL-20240803-00313,DEV-0045,2024-08-03T01:16:56Z,78.44,27.76,1046.3,OK,2024-08-03,15.27
TEL-20240803-00386,DEV-0043,2024-08-03T01:15:31Z,23.61,86.36,1043.3,OK,2024-08-03,16.92
TEL-20240803-00487,DEV-0048,2024-08-03T19:42:58Z,54.45,31.77,1034.84,OK,2024-08-03,11.83
TEL-20240803-00241,DEV-0024,2024-08-03T20:27:12Z,38.78,27.31,1005.39,OK,2024-08-03,10.56
TEL-20240803-00310,DEV-0004,2024-08-03T12:19:44Z,93.77,54.53,1024.88,OK,2024-08-03,26.86
TEL-20240803-00253,DEV-0012,2024-08-03T22:49:29Z,37.86,53.13,997.92,WARN,2024-08-03,23.01
TEL-20240803-00447,DEV-0041,2024-08-03T01:40:40Z,18.61,29.58,1006.33,OK,2024-08-03,23.47
TEL-20240803-00333,DEV-0012,2024-08-03T08:56:04Z,31.15,73.22,980.68,OK,2024-08-03,29.39
TEL-20240803-00009,DEV-0021,2024-08-03T00:25:12Z,43.77,81.61,1036.54,OK,2024-08-03,29.56
TEL-20240803-00124,DEV-0036,2024-08-03T13:51:14Z,35.21,28.1,986.14,OK,2024-08-03,16.8
TEL-20240803-00246,DEV-0048,2024-08-03T16:06:32Z,80.18,30.51,1021.1,WARN,2024-08-03,19.54
TEL-20240803-00354,DEV-0020,2024-08-03T07:37:32Z,46.73,63.46,1042.99,OK,2024-08-03,11.07
TEL-20240803-00100,DEV-0044,2024-08-03T04:16:15Z,64.37,86.62,1038.91,OK,2024-08-03,12.33
TEL-20240803-00406,DEV-0035,2024-08-03T14:27:36Z,73.38,73.83,998.21,WARN,2024-08-03,19.35
TEL-20240803-00469,DEV-0025,2024-08-03T00:31:46Z,48.31,46.09,1018.26,OK,2024-08-03,19.05
TEL-20240803-00039,DEV-0028,2024-08-03T12:36:10Z,90.03,46.19,1018.54,OK,2024-08-03,25.03
TEL-20240803-00275,DEV-0007,2024-08-03T02:51:53Z,25.99,65.47,1023.14,WARN,2024-08-03,12.07
TEL-20240803-00286,DEV-0046,2024-08-03T17:58:05Z,62.03,21.77,1031.39,WARN,2024-08-03,22.69
TEL-20240803-00264,DEV-0043,2024-08-03T08:11:53Z,22.14,82.65,1010.0,OK,2024-08-03,13.29
TEL-20240803-00099,DEV-0003,2024-08-03T11:40:45Z,70.08,68.82,1025.17,OK,2024-08-03,22.11
TEL-20240803-00465,DEV-0033,2024-08-03T23:45:48Z,74.41,21.41,1031.99,ERROR,2024-08-03,22.1
TEL-20240803-00024,DEV-0030,2024-08-03T19:44:21Z,83.6,59.63,1003.5,OK,2024-08-03,18.37
TEL-20240803-00385,DEV-0013,2024-08-03T10:56:48Z,22.57,34.3,1037.17,OK,2024-08-03,28.48
