transaction_id,customer_id,product_category,amount,discount_applied
TXN-20240603-0044,CUST0005,Groceries,742.26,true
TXN-20240603-0045,CUST0006,Health,219.06,false
TXN-20240603-0046,CUST0030,Books,161.62,false
TXN-20240603-0047,CUST0047,Books,777.94,true
TXN-20240603-0048,CUST0004,Groceries,161.62,true
TXN-20240603-0049,CUST0044,Clothing,275.74,false
TXN-20240603-0050,CUST0032,Beauty,444.83,false
TXN-20240603-0051,CUST0014,Health,118.25,false
TXN-20240603-0052,CUST0008,Home & Garden,679.82,false
TXN-20240603-0053,CUST0034,Home & Garden,50.19,false
TXN-20240603-0054,CUST0039,Electronics,12.65,false
TXN-20240603-0055,CUST0014,Groceries,765.33,false
TXN-20240603-0056,CUST0021,Clothing,12.69,false
TXN-20240603-0057,CUST0012,Groceries,383.3,true
TXN-20240603-0058,CUST0033,Health,834.18,false
TXN-20240603-0059,CUST0005,Toys,862.45,true
TXN-20240603-0060,CUST0028,Electronics,462.45,true
TXN-20240603-0061,CUST0021,Beauty,432.13,false
TXN-20240603-0062,CUST0046,Toys,293.06,false
TXN-20240603-0063,CUST0002,Books,176.01,false
TXN-20240603-0064,CUST0045,Books,92.69,true
TXN-20240603-0065,CUST0016,Toys,590.92,true
TXN-20240603-0066,CUST0026,Home & Garden,747.07,true
TXN-20240603-0067,CUST0022,Groceries,81.0,true
TXN-20240603-0068,CUST0034,Health,197.93,false
TXN-20240603-0069,CUST0023,Groceries,240.09,true
TXN-20240603-0070,CUST0017,Sports,177.63,true
TXN-20240603-0071,CUST0049,Clothing,181.26,false
TXN-20240603-0072,CUST0030,Beauty,761.07,false
TXN-20240603-0073,CUST0044,Beauty,644.77,false
TXN-20240603-0074,CUST0041,Books,155.2,true
TXN-20240603-0075,CUST0031,Automotive,633.22,false
TXN-20240603-0076,CUST0038,Electronics,355.18,true
TXN-20240603-0077,CUST0020,Automotive,454.65,true
TXN-20240603-0078,CUST0024,Home & Garden,81.35,true
TXN-20240603-0079,CUST0040,Beauty,509.53,false
TXN-20240603-0080,CUST0038,Health,954.45,true
TXN-20240603-0081,CUST0029,Beauty,653.57,false
TXN-20240603-0082,CUST0039,Automotive,503.86,true
TXN-20240603-0083,CUST0029,Clothing,811.9,false
TXN-20240603-0084,CUST0046,Clothing,507.02,true
TXN-20240603-0085,CUST0003,Sports,709.08,false
TXN-20240603-0086,CUST0034,Health,611.75,false
TXN-20240603-0087,CUST0024,Home & Garden,390.48,false
TXN-20240603-0088,CUST0044,Beauty,57.1,false
TXN-20240603-0089,CUST0005,Books,99.03,false
TXN-20240603-0090,CUST0019,Home & Garden,725.11,true
TXN-20240603-0091,CUST0022,Clothing,584.82,true
TXN-20240603-0092,CUST0023,Home & Garden,967.85,false
TXN-20240603-0093,CUST0009,Beauty,710.28,true
TXN-20240603-0094,CUST0020,Health,379.79,false
TXN-20240603-0095,CUST0009,Health,97.98,false
TXN-20240603-0096,CUST0033,Books,23.14,false
TXN-20240603-0097,CUST0012,Sports,345.02,false
TXN-20240603-0098,CUST0013,Sports,999.97,true
TXN-20240603-0099,CUST0005,Home & Garden,845.2,true
TXN-20240603-0100,CUST0033,Health,835.94,true
TXN-20240603-0101,CUST0043,Books,877.0,true
TXN-20240603-0102,CUST0039,Toys,158.48,true
TXN-20240603-0103,CUST0045,Beauty,809.99,true
TXN-20240603-0104,CUST0047,Automotive,48.47,false
TXN-20240603-0105,CUST0044,Sports,969.73,false
TXN-20240603-0106,CUST0049,Automotive,237.83,true
TXN-20240603-0107,CUST0020,Automotive,904.45,true
TXN-20240603-0108,CUST0024,Beauty,984.51,false
TXN-20240603-0109,CUST0050,Home & Garden,779.23,false
TXN-20240603-0110,CUST0011,Sports,802.24,true
TXN-20240603-0111,CUST0017,Electronics,642.97,false
TXN-20240603-0112,CUST0036,Clothing,712.84,true
TXN-20240603-0113,CUST0019,Clothing,764.29,false
TXN-20240603-0114,CUST0029,Health,151.61,false
TXN-20240603-0115,CUST0006,Sports,817.61,false
TXN-20240603-0116,CUST0002,Toys,57.99,false
TXN-20240603-0117,CUST0016,Toys,994.54,false
TXN-20240603-0118,CUST0015,Electronics,322.09,true
TXN-20240603-0119,CUST0046,Books,792.42,true
TXN-20240603-0120,CUST0003,Home & Garden,917.8,false
TXN-20240603-0121,CUST0045,Groceries,760.04,false
TXN-20240603-0122,CUST0029,Beauty,10.22,true
TXN-20240603-0123,CUST0002,Home & Garden,219.57,true
TXN-20240603-0124,CUST0036,Beauty,530.13,true
TXN-20240603-0125,CUST0050,Home & Garden,241.45,true
TXN-20240603-0126,CUST0004,Sports,422.72,false
TXN-20240603-0127,CUST0005,Clothing,837.5,false
TXN-20240603-0128,CUST0039,Health,21.35,true
TXN-20240603-0129,CUST0046,Groceries,294.81,true
TXN-20240603-0130,CUST0040,Books,244.36,false
TXN-20240603-0131,CUST0012,Clothing,525.86,false
TXN-20240603-0132,CUST0005,Health,546.36,true
TXN-20240603-0133,CUST0025,Automotive,48.32,false
TXN-20240603-0134,CUST0024,Home & Garden,748.57,false
TXN-20240603-0135,CUST0005,Books,244.92,true
TXN-20240603-0136,CUST0050,Beauty,736.5,false
TXN-20240603-0137,CUST0009,Electronics,355.53,false
TXN-20240603-0138,CUST0042,Groceries,831.22,false
TXN-20240603-0139,CUST0045,Automotive,633.57,true
TXN-20240603-0140,CUST0005,Automotive,41.8,true
TXN-20240603-0141,CUST0003,Sports,886.35,false
TXN-20240603-0142,CUST0020,Health,401.23,false
TXN-20240603-0143,CUST0017,Electronics,754.52,true
TXN-20240603-0144,CUST0019,Books,862.82,true
TXN-20240603-0145,CUST0042,Books,276.85,false
TXN-20240603-0146,CUST0028,Toys,744.58,false
TXN-20240603-0147,CUST0022,Groceries,498.72,false
TXN-20240603-0148,CUST0024,Health,270.38,true
TXN-20240603-0149,CUST0047,Toys,83.53,true
TXN-20240603-0150,CUST0035,Home & Garden,324.6,true
TXN-20240603-0151,CUST0021,Home & Garden,309.96,false
TXN-20240603-0152,CUST0011,Automotive,354.79,true
TXN-20240603-0153,CUST0047,Books,616.77,false
TXN-20240603-0154,CUST0018,Electronics,79.67,false
TXN-20240603-0155,CUST0024,Health,802.08,true
TXN-20240603-0156,CUST0002,Groceries,849.42,false
TXN-20240603-0157,CUST0003,Groceries,71.9,false
TXN-20240603-0158,CUST0024,Toys,949.71,true
TXN-20240603-0159,CUST0039,Groceries,680.66,false
TXN-20240603-0160,CUST0024,Automotive,764.26,true
TXN-20240603-0161,CUST0034,Books,401.04,false
TXN-20240603-0162,CUST0016,Clothing,30.78,true
TXN-20240603-0163,CUST0032,Health,390.05,true
TXN-20240603-0164,CUST0017,Home & Garden,705.51,true
TXN-20240603-0165,CUST0040,Home & Garden,695.5,false
TXN-20240603-0166,CUST0013,Clothing,140.05,true
TXN-20240603-0167,CUST0029,Groceries,899.18,false
TXN-20240603-0168,CUST0006,Books,669.49,true
TXN-20240603-0169,CUST0036,Health,293.91,false
TXN-20240603-0170,CUST0011,Groceries,794.72,true
TXN-20240603-0171,CUST0008,Sports,793.1,true
TXN-20240603-0172,CUST0032,Electronics,364.09,false
TXN-20240603-0173,CUST0030,Health,134.12,true
TXN-20240603-0174,CUST0005,Home & Garden,401.17,false
TXN-20240603-0175,CUST0034,Toys,770.31,true
TXN-20240603-0176,CUST0009,Books,644.12,false
TXN-20240603-0177,CUST0030,Health,347.79,true
TXN-20240603-0178,CUST0050,Groceries,435.45,true
TXN-20240603-0179,CUST0008,Health,157.25,true
TXN-20240603-0180,CUST0011,Books,935.05,true
TXN-20240603-0181,CUST0023,Health,895.44,true
TXN-20240603-0182,CUST0017,Sports,636.88,false
TXN-20240603-0183,CUST0009,Home & Garden,616.35,true
TXN-20240603-0184,CUST0033,Groceries,593.84,true
TXN-20240603-0185,CUST0011,Beauty,722.02,false
TXN-20240603-0186,CUST0037,Electronics,826.1,true
TXN-20240603-0187,CUST0006,Electronics,948.79,false
TXN-20240603-0188,CUST0042,Sports,768.12,false
TXN-20240603-0189,CUST0040,Electronics,500.54,false
TXN-20240603-0190,CUST0042,Home & Garden,485.53,false
TXN-20240603-0191,CUST0020,Automotive,77.61,true
TXN-20240603-0192,CUST0011,Automotive,418.54,false
TXN-20240603-0193,CUST0014,Books,608.62,false
TXN-20240603-0194,CUST0046,Books,735.52,false
TXN-20240603-0195,CUST0026,Groceries,761.85,true
TXN-20240603-0196,CUST0021,Sports,469.14,false
TXN-20240603-0197,CUST0029,Sports,145.17,true
TXN-20240603-0198,CUST0019,Toys,864.83,false
TXN-20240603-0199,CUST0016,Groceries,814.4,false
TXN-20240603-0200,CUST0013,Groceries,500.77,false
