transaction_id,customer_id,product_category,amount
TXN-20240601-0100,CUST0043,Beauty,567.4
TXN-20240601-0101,CUST0021,Home & Garden,208.24
TXN-20240601-0102,CUST0046,Books,242.49
TXN-20240601-0103,CUST0026,Groceries,673.33
TXN-20240601-0104,CUST0020,Automotive,319.59
TXN-20240601-0105,CUST0049,Clothing,14.27
TXN-20240601-0106,CUST0040,Beauty,996.11
TXN-20240601-0107,CUST0005,Health,217.09
TXN-20240601-0108,CUST0017,Groceries,933.58
TXN-20240601-0109,CUST0005,Sports,372.68
TXN-20240601-0110,CUST0011,Automotive,834.57
TXN-20240601-0111,CUST0046,Home & Garden,613.61
TXN-20240601-0112,CUST0042,Health,12.78
TXN-20240601-0113,CUST0036,Home & Garden,932.09
TXN-20240601-0114,CUST0007,Groceries,268.14
TXN-20240601-0115,CUST0007,Health,159.67
TXN-20240601-0116,CUST0019,Beauty,214.57
TXN-20240601-0117,CUST0022,Sports,689.05
TXN-20240601-0118,CUST0017,Health,491.08
TXN-20240601-0119,CUST0004,Clothing,636.11
TXN-20240601-0120,CUST0018,Electronics,8.53
TXN-20240601-0121,CUST0050,Groceries,638.92
TXN-20240601-0122,CUST0017,Groceries,742.52
TXN-20240601-0123,CUST0036,Toys,563.1
TXN-20240601-0124,CUST0008,Clothing,945.32
TXN-20240601-0125,CUST0045,Groceries,547.86
TXN-20240601-0126,CUST0024,Beauty,554.76
TXN-20240601-0127,CUST0028,Groceries,46.62
TXN-20240601-0128,CUST0024,Electronics,899.42
TXN-20240601-0129,CUST0014,Sports,668.59
TXN-20240601-0130,CUST0023,Health,884.71
TXN-20240601-0131,CUST0027,Beauty,750.72
TXN-20240601-0132,CUST0016,Groceries,976.32
TXN-20240601-0133,CUST0012,Toys,29.66
TXN-20240601-0134,CUST0048,Books,783.47
TXN-20240601-0135,CUST0027,Sports,270.47
TXN-20240601-0136,CUST0045,Clothing,385.63
TXN-20240601-0137,CUST0003,Automotive,226.32
TXN-20240601-0138,CUST0030,Books,308.66
TXN-20240601-0139,CUST0015,Sports,28.55
TXN-20240601-0140,CUST0013,Toys,331.62
TXN-20240601-0141,CUST0005,Home & Garden,354.39
TXN-20240601-0142,CUST0033,Toys,681.11
TXN-20240601-0143,CUST0035,Books,939.53
TXN-20240601-0144,CUST0008,Home & Garden,182.67
TXN-20240601-0145,CUST0017,Electronics,112.86
TXN-20240601-0146,CUST0028,Books,729.9
TXN-20240601-0147,CUST0021,Toys,608.17
TXN-20240601-0148,CUST0033,Clothing,388.27
TXN-20240601-0149,CUST0037,Sports,258.45
TXN-20240601-0150,CUST0046,Toys,6.68
TXN-20240601-0151,CUST0035,Sports,367.4
TXN-20240601-0152,CUST0005,Books,625.03
TXN-20240601-0153,CUST0043,Clothing,721.15
TXN-20240601-0154,CUST0020,Health,312.74
TXN-20240601-0155,CUST0027,Books,405.38
TXN-20240601-0156,CUST0019,Health,131.65
TXN-20240601-0157,CUST0027,Toys,678.92
TXN-20240601-0158,CUST0012,Beauty,571.25
TXN-20240601-0159,CUST0026,Health,834.55
TXN-20240601-0160,CUST0020,Home & Garden,214.13
TXN-20240601-0161,CUST0038,Beauty,656.43
TXN-20240601-0162,CUST0030,Automotive,444.94
TXN-20240601-0163,CUST0014,Health,475.82
TXN-20240601-0164,CUST0048,Groceries,660.55
TXN-20240601-0165,CUST0019,Health,665.53
TXN-20240601-0166,CUST0040,Books,97.92
TXN-20240601-0167,CUST0049,Sports,674.42
TXN-20240601-0168,CUST0015,Sports,151.62
TXN-20240601-0169,CUST0003,Sports,984.01
TXN-20240601-0170,CUST0040,Clothing,458.13
TXN-20240601-0171,CUST0041,Beauty,198.46
TXN-20240601-0172,CUST0045,Toys,496.9
TXN-20240601-0173,CUST0016,Groceries,657.77
TXN-20240601-0174,CUST0001,Clothing,779.52
TXN-20240601-0175,CUST0015,Groceries,805.08
TXN-20240601-0176,CUST0045,Health,467.22
TXN-20240601-0177,CUST0036,Sports,917.87
TXN-20240601-0178,CUST0008,Automotive,137.67
TXN-20240601-0179,CUST0030,Health,987.94
TXN-20240601-0180,CUST0039,Books,950.28
TXN-20240601-0181,CUST0029,Beauty,815.92
TXN-20240601-0182,CUST0033,Toys,831.41
TXN-20240601-0183,CUST0036,Automotive,897.71
TXN-20240601-0184,CUST0048,Automotive,452.81
TXN-20240601-0185,CUST0049,Sports,840.66
TXN-20240601-0186,CUST0018,Health,487.17
TXN-20240601-0187,CUST0016,Home & Garden,442.67
TXN-20240601-0188,CUST0046,Home & Garden,238.32
TXN-20240601-0189,CUST0022,Books,893.55
TXN-20240601-0190,CUST0006,Groceries,155.07
TXN-20240601-0191,CUST0025,Groceries,707.88
TXN-20240601-0192,CUST0005,Toys,410.56
TXN-20240601-0193,CUST0035,Automotive,418.69
TXN-20240601-0194,CUST0014,Toys,392.53
TXN-20240601-0195,CUST0050,Beauty,946.32
TXN-20240601-0196,CUST0002,Beauty,383.48
TXN-20240601-0197,CUST0001,Books,302.12
TXN-20240601-0198,CUST0025,Toys,540.52
TXN-20240601-0199,CUST0048,Health,800.86
TXN-20240601-0200,CUST0015,Automotive,223.32
