order_id,order_date,customer_id,product_id,quantity,amount
120,2024-01-20,325,197,2,808.68
121,2024-03-12,356,95,8,1900.75
122,2024-03-24,298,1,2,1463.2
123,2024-04-27,326,171,6,1700.95
124,2024-05-16,204,56,7,1650.56
125,2024-05-06,138,83,5,678.82
126,2024-05-27,67,145,8,1577.66
127,2024-06-23,391,13,1,203.65
128,2024-04-27,9,32,3,885.36
129,2024-01-01,491,110,4,1991.4
130,2024-02-03,452,167,5,322.16
131,2024-03-11,48,168,6,504.52
132,2024-04-05,341,167,3,108.32
133,2024-06-09,157,186,4,861.31
134,2024-01-24,361,25,1,430.77
135,2024-01-20,68,152,4,1041.29
136,2024-04-23,5,3,6,1635.12
137,2024-04-18,356,34,8,146.3
138,2024-04-08,46,188,2,210.89
139,2024-04-04,452,77,3,768.52
140,2024-02-04,329,174,3,141.48
141,2024-05-24,5,157,3,882.99
142,2024-02-24,322,192,3,1840.18
143,2024-06-06,352,114,4,177.94
144,2024-01-26,72,193,2,1181.19
145,2024-04-08,180,110,6,1583.19
146,2024-03-04,142,166,2,500.09
147,2024-06-02,308,185,10,573.41
148,2024-06-25,14,169,5,414.86
149,2024-06-04,261,49,7,594.6
150,2024-01-14,402,62,8,774.84
